Finished Step 3250 | Learning Rate: 0.000831 | Train Loss: 1.4479 | Validation Loss: 1.5990
Finished Step 3300 | Learning Rate: 0.000826 | Train Loss: 1.4465 | Validation Loss: 1.5860
Finished Step 3350 | Learning Rate: 0.000820 | Train Loss: 1.4425 | Validation Loss: 1.5949
Finished Step 3400 | Learning Rate: 0.000815 | Train Loss: 1.4400 | Validation Loss: 1.5874
Finished Step 3450 | Learning Rate: 0.000809 | Train Loss: 1.4439 | Validation Loss: 1.5484
Finished Step 3500 | Learning Rate: 0.000804 | Train Loss: 1.4359 | Validation Loss: 1.5676
Finished Step 3550 | Learning Rate: 0.000798 | Train Loss: 1.4331 | Validation Loss: 1.5581
Finished Step 3600 | Learning Rate: 0.000792 | Train Loss: 1.4314 | Validation Loss: 1.5411
Finished Step 3650 | Learning Rate: 0.000787 | Train Loss: 1.4293 | Validation Loss: 1.5642
Finished Step 3700 | Learning Rate: 0.000781 | Train Loss: 1.4258 | Validation Loss: 1.5865
Finished Step 3750 | Learning Rate: 0.000775 | Train Loss: 1.4258 | Validation Loss: 1.5667
Finished Step 3800 | Learning Rate: 0.000769 | Train Loss: 1.4194 | Validation Loss: 1.5898
Finished Step 3850 | Learning Rate: 0.000763 | Train Loss: 1.4218 | Validation Loss: 1.5559
Finished Step 3900 | Learning Rate: 0.000758 | Train Loss: 1.4186 | Validation Loss: 1.5436
Finished Step 3950 | Learning Rate: 0.000752 | Train Loss: 1.4178 | Validation Loss: 1.5529
Finished Step 4000 | Learning Rate: 0.000746 | Train Loss: 1.4112 | Validation Loss: 1.5690
Finished Step 4050 | Learning Rate: 0.000740 | Train Loss: 1.4183 | Validation Loss: 1.5613
Finished Step 4100 | Learning Rate: 0.000733 | Train Loss: 1.4116 | Validation Loss: 1.5517
Finished Step 4150 | Learning Rate: 0.000727 | Train Loss: 1.4100 | Validation Loss: 1.5876
Finished Step 4200 | Learning Rate: 0.000721 | Train Loss: 1.4100 | Validation Loss: 1.5509
Finished Step 4250 | Learning Rate: 0.000715 | Train Loss: 1.4122 | Validation Loss: 1.5692
